,0,1,2,3,4,5,6,7,8,C/M,Max/Current
73,012750,에스원,73800.0,115000.0,94015.32192339038,6914.8132800586345,81700.0,1.1507383344356228,0.0374557591081079,0.8690072886903937,1.4075887392900857
745,000155,두산우,25800.0,92604.18555212085,69549.81429674217,18105.396015663006,38900.0,1.787912963926534,0.045241513640213456,0.5593113424290213,2.3805703226766286
973,019685,대교우B,2175.0,5690.0,4362.18826405868,998.5263813982529,2680.0,1.627682188081597,0.046026049058453,0.6143705493138131,2.123134328358209
632,041960,코미팜,10000.0,42600.98827972684,23494.382500352272,7908.154774176491,10250.0,2.2921348780831488,0.04698916074110385,0.4362745009300122,4.156193978509935
448,007980,태평양물산,1129.8912860872513,4659.285769159349,2938.2474605094085,678.4022375592903,1850.0,1.5882418705456263,0.05434236248377358,0.6296270225242576,2.518532848194243
300,003920,남양유업,255000.0,944000.0,576650.7742461287,174487.54637257848,298500.0,1.9318283894342672,0.05545670615710684,0.5176443236207169,3.1624790619765495
15,033780,KT&G,63600.0,137000.0,100943.84678076609,13084.315013889864,80500.0,1.253960829574734,0.059088680004167456,0.7974730760442797,1.7018633540372672
819,091090,세원셀론텍,1281.99867825153,5816.316150993518,2809.419321927716,675.5970056577286,1760.0,1.5962609783680204,0.06017317887177444,0.6264639764748096,3.304725085791772
304,115450,지트리비앤티,11850.0,47158.65882994249,23074.758457854474,7076.558832368175,12100.0,1.9070048312276424,0.060467510182042786,0.5243825204974681,3.8974098206564043
24,000810,삼성화재,126000.0,309000.0,251417.27791361042,40753.995327595665,188500.0,1.3337786626716732,0.06131464987978898,0.749749585884748,1.6392572944297081
157,000150,두산,26050.0,177326.55645617377,107623.04454347181,39189.14341467854,48600.0,2.2144659371084736,0.06601984963945969,0.4515761490130412,3.648694577287526
334,019680,대교,3075.0,11000.0,6800.114099429503,1716.4903430839786,4255.0,1.5981466743665107,0.06907134814730709,0.6257247948761586,2.5851938895417157
977,025560,미래산업,2494.0166508697534,14331.458990172443,7031.528277936612,2598.5666029331915,3245.0,2.1668808252501113,0.07253605828528202,0.46149284646726035,4.416474265076253
318,002960,한국쉘석유,206000.0,501000.0,348599.4295028525,69603.7659394463,248000.0,1.4056428608985987,0.07418458710826392,0.7114182612222855,2.0201612903225805
350,071320,지역난방공사,26000.0,87400.0,58633.41483292584,14692.180894567802,37550.0,1.5614757611964272,0.07564223720109148,0.6404198034004603,2.3275632490013316
970,084670,동양고속,20856.50638959044,36502.020293766094,28921.68932966586,3517.874807057665,23900.0,1.2101125242538018,0.0767210631927606,0.8263694325588733,1.5272811838395854
479,007660,이수페타시스,1785.0,7070.0,4501.39771801141,813.814266657135,3340.0,1.3477238676680867,0.07677493811189325,0.74199175661277,2.1167664670658684
757,026040,제이에스티나,1390.0,14850.0,6170.383304940375,2912.352053256625,2025.0,3.047102866637222,0.07731303146973764,0.3281805845641169,7.333333333333333
923,034590,인천도시가스,20950.0,32050.0,28914.38467807661,2277.8883588877306,25700.0,1.1250733337773,0.0791039142839236,0.8888309499280539,1.2470817120622568
561,078520,에이블씨엔씨,5790.0,21617.331544587025,12287.084646138432,3400.775242130295,7490.0,1.640465239804864,0.07918341739887308,0.6095831692958954,2.8861590847245693
371,014620,성광벤드,4095.0,14150.0,9784.686226568867,1825.2546369088568,7220.0,1.3552196989707572,0.07999406689625765,0.7378877393528633,1.9598337950138505
283,017940,E1,22400.0,74000.0,55145.84352078239,9705.825129125202,41750.0,1.3208585274438898,0.08376469869972697,0.757083350883299,1.7724550898203593
763,049520,유아이엘,3485.0,8200.0,5345.041011031177,1086.153141083015,3850.0,1.3883223405275784,0.08434039233952523,0.7202938185234334,2.1298701298701297
505,001130,대한제분,91500.0,240500.0,172029.74735126324,20193.197460329124,144500.0,1.1905172827077042,0.08639117312347405,0.8399710063222324,1.6643598615916955
231,086900,메디톡스,104900.0,807677.760613265,409647.63901417964,156024.47324681422,199200.0,2.056464051276002,0.08869872371840354,0.48627156860802717,4.054607231994302
424,000850,화천기공,23950.0,62900.0,45168.09290953545,9276.201519525046,32800.0,1.3770760033394955,0.09121432774094446,0.7261763312808714,1.9176829268292683
236,009970,영원무역홀딩스,27400.0,72000.0,52760.79869600652,9341.39537493182,40400.0,1.3059603637625377,0.09287973417187301,0.7657200231704963,1.7821782178217822
355,035000,지투알,3400.0,11600.0,7750.484922575387,1687.3401649810064,5520.0,1.4040733555390195,0.09310171718751281,0.7122135008509602,2.101449275362319
593,005720,넥센,2985.0,8694.788500674875,6363.3414086182,1382.5380735757335,4555.0,1.397001406941427,0.09543891068551424,0.7158188925445569,1.9088448958671513
42,078930,GS,30300.0,76700.0,51593.52078239609,9924.612902499197,38950.0,1.3246090059665234,0.10133949389626024,0.7549397561813593,1.969191270860077
433,004970,신라교역,6850.0,17800.0,13454.319478402607,2378.2393563698233,10450.0,1.2874946869284791,0.10324902405060615,0.7767022343103078,1.7033492822966507
640,378850,화승알앤에이,3908.964156022261,15516.888149775323,8603.092290082963,2503.4088058995453,5460.0,1.5756579285866232,0.10464412293412462,0.6346555187248081,2.841920906552257
752,255440,야스,7510.0,31141.713891867053,19438.730720720912,5032.329578510345,13150.0,1.4782304730586244,0.10571080769390201,0.676484498341377,2.3681911704841867
295,005500,삼진제약,16650.0,58200.0,33357.497962510184,7408.617343684492,24150.0,1.3812628555904838,0.10696907156534685,0.723975162260122,2.409937888198758
764,062970,피피아이,3800.0,13400.0,8191.0749185667755,1847.6350767188328,5900.0,1.388317782807928,0.10748695403470854,0.7202961831818218,2.2711864406779663
773,014990,인디에프,926.0,4300.0,2077.1784841075796,634.9767371315186,1295.0,1.6039988294267025,0.10900774169489413,0.6234418514865236,3.3204633204633205
650,225190,삼양옵틱스,7497.993599334172,19717.221358011237,13502.428440336687,3111.867672792213,9670.0,1.3963214519479512,0.10905814522356871,0.7161674688911644,2.0390094475709657
400,096760,JW홀딩스,3592.47117473804,15198.91349918533,7061.033509957693,1814.966680941163,4830.0,1.4619116997842014,0.10949051855349134,0.6840358416637707,3.146772981197791
327,029530,신도리코,19500.0,73100.0,45808.109209453956,12986.934135856505,29950.0,1.5294861171770937,0.11102752060167909,0.653814368610064,2.4407345575959933
747,040420,정상제이엘에스,5440.0,8450.0,7155.346373268134,604.956773691615,6420.0,1.114539933530862,0.11208097803499845,0.8972311981967309,1.3161993769470406
172,000815,삼성화재우,86100.0,206500.0,170944.4172779136,21961.08914851892,144500.0,1.1830063479440387,0.11426605198283485,0.8453040017392234,1.4290657439446366
855,260930,씨티케이코스메틱스,8850.0,46000.0,21061.96538936959,8711.114214621846,10650.0,1.9776493323351727,0.11599454699386941,0.5056508166790207,4.31924882629108
504,005810,풍산홀딩스,15543.0869247866,45236.7808319455,30567.041854913346,7099.902619868535,22150.0,1.3800018896123407,0.1179069214747488,0.7246366889257754,2.042292588349684
599,005800,신영와코루,64300.0,189000.0,130606.11745513866,28286.909125111484,97100.0,1.3450681509283076,0.11810568491777512,0.7434567529606908,1.9464469618949536
343,053210,스카이라이프,4760.0,18500.0,12418.333333333334,3285.2518850677934,8530.0,1.4558421258304026,0.11829119314012138,0.6868876660850892,2.168815943728019
768,025620,제이준코스메틱,1326.592206517413,20019.489664294462,7348.318161896961,4857.886087981558,1605.0,4.578391378128948,0.11854989779420066,0.21841732552114632,12.47320228304951
84,001450,현대해상,17700.0,49200.0,32847.71801140995,7701.992211211298,23750.0,1.3830618110067345,0.11875842264057507,0.723033484144933,2.071578947368421
536,015360,예스코홀딩스,26300.0,42800.0,37715.519662921346,3286.6073136185114,33850.0,1.1141955587273662,0.11976890046542871,0.8975085138036267,1.2644017725258494
770,214420,토니모리,6300.0,37666.666666666664,15989.630535180655,6787.0447357797875,8040.0,1.9887600168135142,0.12074014070759026,0.5028258772027444,4.684908789386401
239,002270,롯데푸드,211500.0,1128825.561239365,620442.2469558626,214787.35426836697,370000.0,1.6768709377185476,0.12180704214383636,0.5963488170178091,3.0508798952415273
485,004150,한솔홀딩스,2414.861847141359,9075.360981639535,5479.681711668439,1521.427783499727,3715.0,1.4750152655904276,0.12304775550414582,0.6779590851215457,2.4428966303201975
838,002360,SH에너지화학,507.0,1960.0,1256.5558272208639,296.15815586222783,914.0,1.3747875571344244,0.12370459010846918,0.7273851111108228,2.1444201312910285
384,002795,아모레G우,16100.0,85600.0,43524.08312958435,18745.69196498061,22000.0,1.978367414981107,0.12543992651414437,0.5054672819758051,3.890909090909091
591,078000,텔코웨어,10450.0,20300.0,13057.579462102689,1493.433017792122,11350.0,1.1504475297006775,0.12643792278012467,0.8692269522801959,1.7885462555066078
418,033920,무학,3660.0,35544.0350877193,15307.938274782311,7354.197438371708,6910.0,2.215331154092954,0.12674270071798732,0.45139978199306297,5.143854571305253
443,084990,헬릭스미스,14450.762911287942,123943.38959345776,52461.766566446866,26148.77718710639,23000.0,2.2809463724542116,0.12993516204230032,0.4384145160431975,5.388843025802511
370,101060,SBS미디어홀딩스,1575.0,3500.0,2465.7049714751424,482.9210038105929,1925.0,1.2808856994676066,0.13143037984525652,0.7807097857487556,1.8181818181818181
624,070960,용평리조트,2450.0,14000.0,7485.408937605396,2523.616432011817,4660.0,1.6063109308166086,0.13144483244725913,0.6225444780430056,3.004291845493562
870,003120,일성신약,76000.0,151000.0,103965.60717196413,19454.20289541067,82200.0,1.2647884084180552,0.1316100492415872,0.7906460822571567,1.8369829683698298
363,023160,태광,5670.0,15200.0,9863.137734311329,2080.0170228713673,7540.0,1.3081084528264362,0.13202196311692965,0.7644626084628497,2.0159151193633953
999,002355,넥센타이어1우B,1730.0,6490.0,4356.893442622951,1309.9797342481,2895.0,1.5049718281944562,0.13221824647287655,0.6644642652213094,2.2417962003454233
261,006840,AK홀딩스,12000.0,86900.0,50556.2347188264,19683.821326826463,28750.0,1.7584777293504836,0.1339686417308647,0.5686736791198163,3.022608695652174
792,067080,대화제약,5815.028244071839,46990.12722482294,21124.072535658226,8312.91587727032,12000.0,1.7603393779715188,0.13619442940692467,0.5680722777174501,3.915843935401912
953,009770,삼정펄프,18000.0,49400.0,36252.81173594132,6289.602284730771,29350.0,1.2351894969656327,0.13621237020995847,0.8095923762763533,1.6831345826235093
330,004690,삼천리,56000.0,125500.0,96414.34392828036,14738.13642254381,80300.0,1.2006767612488214,0.13711408622596838,0.8328636251441246,1.5628891656288917
636,090470,제이스텍,5230.0,28450.0,12873.439282803585,5246.511082318376,7180.0,1.792958117382115,0.1389196878921708,0.5577375122739022,3.9623955431754876
249,005610,SPC삼립,40650.0,223500.0,117998.16729323308,42940.05802494372,72000.0,1.6388634346282374,0.14203568790400933,0.6101789684671571,3.1041666666666665
398,013030,하이록코리아,6800.0,32900.0,19748.73675631622,4717.709506415887,14750.0,1.3388974072078792,0.14467045735338901,0.7468832149622189,2.230508474576271
583,038540,상상인,4750.0,21359.27812854153,11995.814197280724,5086.621672225003,6620.0,1.8120565252689915,0.14528921404065742,0.55185916446594,3.226477058692074
647,228850,레이언스,7210.0,23850.0,16029.687756778965,3462.1036350830936,12400.0,1.2927167545789489,0.14722595924556003,0.7735646625278794,1.9233870967741935
67,002380,KCC,107000.0,525659.3987084412,348528.68489301146,120442.47607916637,222500.0,1.566421055698928,0.14769264520450875,0.6383979558764331,2.362514151498612
832,058730,다스코,4200.0,12700.0,6698.239339752407,1667.4991776237468,4965.0,1.3490915085100519,0.14930369945610766,0.7412395628406323,2.5579053373615306
111,170900,동아에스티,66200.0,171213.27370347333,98649.18037155237,14869.027177269474,83200.0,1.1856872640811582,0.14939828425702423,0.8433927143300679,2.057851847397516
637,058650,세아홀딩스,45900.0,172500.0,110246.21026894865,31358.121534894057,77700.0,1.4188701450315142,0.14966115816351955,0.7047861310647207,2.22007722007722
196,000670,영풍,384000.0,1328000.0,814072.9421352893,231212.98120290836,575000.0,1.415779029800503,0.15056937608124554,0.7063249129639317,2.309565217391304
187,093050,LF,8940.0,36300.0,22195.093724531376,5789.68133867862,16250.0,1.3658519215096232,0.15224720019170757,0.7321437882480984,2.233846153846154
279,072710,농심홀딩스,63300.0,163000.0,96719.8859005705,21888.553825406583,74300.0,1.3017481278677052,0.15285283692453377,0.7681977631402659,2.1938088829071334
1009,006570,대림통상,2400.0,7580.0,4844.7636511817445,843.3000417448623,3985.0,1.2157499752024452,0.15397740845149516,0.8225375450519595,1.9021329987452948
100,114090,GKL,10900.0,34000.0,21630.48084759576,4791.597714677065,16800.0,1.2875286218807,0.1566996628786269,0.7766817630347468,2.0238095238095237
