Num,Name,Value,Weight,Share
1,삼성전자,353766.8463,0.271396697,10.62
2,SK하이닉스,70142.14847,0.053810434,10.24
3,NAVER,35411.09443,0.027166068,11.52
4,현대모비스,27138.11712,0.020819349,11.12
5,현대차,26905.12914,0.020640609,10.45
6,POSCO,24334.97968,0.018668887,11.8
7,LG화학,22311.79498,0.017116775,9.95
8,SK텔레콤,21395.37176,0.016413729,11.13
9,신한지주,20341.39014,0.015605154,9.9
10,KB금융,19759.50343,0.015158752,9.97
11,셀트리온,18823.64343,0.014440795,8.1
12,삼성SDI,17557.81472,0.013469699,10.82
13,LG생활건강,15243.92636,0.01169457,7.74
14,삼성물산,15124.60054,0.011603028,7.35
15,SK이노베이션,14582.1975,0.011186917,10.51
16,KT&G,14491.03725,0.011116982,11.25
17,한국전력,14059.70572,0.010786081,7.88
18,엔씨소프트,13996.80069,0.010737822,11.78
19,SK,13504.48346,0.010360135,7.33
20,기아차,13408.56629,0.010286551,7.47
21,카카오,12171.23604,0.009337317,9.2
22,LG전자,11195.31669,0.008588628,9.49
23,하나금융지주,11015.38357,0.00845059,9.94
24,삼성전기,10887.8125,0.008352723,11.66
25,삼성화재,10752.06879,0.008248585,9.32
26,삼성바이오로직스,9936.97762,0.007623278,3.47
27,한국조선해양,9761.917715,0.007488978,10.9
28,LG,9691.248474,0.007434763,7.61
29,삼성에스디에스,9591.71693,0.007358407,6.37
30,아모레퍼시픽,8989.944,0.006896749,7.69
31,KT,8876.81538,0.006809961,12.59
32,삼성생명,8773.62809,0.006730799,5.89
33,S-Oil,7403.75217,0.005679882,6.9
34,우리금융지주,7232.0113,0.005548129,8.63
35,삼성전자우,6785.383666,0.005205493,1.82
36,롯데케미칼,6766.816,0.005191248,8.81
37,LG유플러스,6642.320084,0.00509574,10.71
38,현대중공업지주,6138.70192,0.004709383,11.15
39,기업은행,6026.00276,0.004622924,8.85
40,고려아연,5962.31225,0.004574063,7.43
41,현대글로비스,5566.86845,0.004270693,10.38
42,웅진코웨이,5540.162215,0.004250205,8.06
43,현대건설,5380.25967,0.004127534,11.42
44,GS,4910.080044,0.00376683,10.24
45,이마트,4775.605575,0.003663666,13.44
46,CJ제일제당,4771.863675,0.003660795,12.55
47,미래에셋대우,4763.61814,0.00365447,9.58
48,LG디스플레이,4597.15425,0.003526765,7.91
49,호텔신라,4559.38126,0.003497787,12.79
50,휠라코리아,4462.71342,0.003423627,13.78
51,삼성중공업,4368.531804,0.003351374,9.54
52,NH투자증권,4278.277448,0.003282134,11.97
53,한국금융지주,4210.95414,0.003230487,10.44
54,삼성증권,4167.87167,0.003197435,12.09
55,대림산업,4039.18333,0.00309871,12.83
56,신세계,4012.61183,0.003078326,14.1
57,유한양행,3834.16638,0.002941429,12.69
58,넷마블,3801.905184,0.00291668,4.8
59,삼성엔지니어링,3770.075904,0.002892261,10.02
60,DB손해보험,3742.908076,0.002871419,10.11
61,현대제철,3668.055329,0.002813995,8.74
62,한온시스템,3606.506637,0.002766777,6.06
63,강원랜드,3567.865896,0.002737133,5.63
64,한국타이어앤테크놀로지,3390.229513,0.002600857,8.16
65,LG이노텍,3344.1352,0.002565495,10.09
66,GS건설,3214.255946,0.002465857,12.92
67,한미약품,3183.50271,0.002442264,9.25
68,대한항공,3132.09927,0.002402829,11.59
69,오리온,3030.796615,0.002325114,7.27
70,한화케미칼,3014.952506,0.002312959,9.9
71,BNK금융지주,2890.594452,0.002217556,11.58
72,KCC,2793.190045,0.002142831,11.33
73,한국가스공사,2758.140477,0.002115942,7.89
74,CJ대한통운,2695.31515,0.002067745,7.62
75,SKC,2625.99051,0.002014562,13.72
76,두산밥캣,2621.381778,0.002011026,7.61
77,한화에어로스페이스,2476.230977,0.001899672,13.7
78,에스원,2457.27313,0.001885128,6.9
79,CJ,2393.568324,0.001836256,8.49
80,현대미포조선,2323.023104,0.001782136,12.63
81,롯데쇼핑,2322.29656,0.001781579,6.06
82,만도,2280.883264,0.001749808,13.8
83,현대백화점,2279.484522,0.001748735,11.72
84,아모레G,2270.711267,0.001742005,3.33
85,현대차2우B,2270.115078,0.001741547,7.84
86,제일기획,2231.76304,0.001712125,8.07
87,한국항공우주,2156.901336,0.001654694,6.5
88,LS,2074.37182,0.00159138,13.48
89,현대해상,2062.207532,0.001582049,8.56
90,키움증권,2033.89779,0.00156033,11.58
91,CJ ENM,2031.602664,0.00155857,5.8
92,신세계인터내셔날,2020.04094,0.0015497,12.89
93,LS산전,1950.055926,0.00149601,11.91
94,현대엘리베이,1906.53986,0.001462626,10.26
95,금호석유,1867.149375,0.001432407,7.91
96,코오롱인더,1840.594283,0.001412035,13.71
97,농심,1836.364205,0.00140879,12.55
98,메리츠종금증권,1834.925468,0.001407686,7.84
99,한전KPS,1809.576032,0.001388239,10.27
100,이노션,1794.61371,0.001376761,12.66
101,한화,1791.55475,0.001374414,9.56
102,영원무역,1780.641403,0.001366042,11.73
103,한올바이오파마,1766.622627,0.001355287,9.32
104,한솔케미칼,1715.28776,0.001315905,14.33
105,GS리테일,1700.320598,0.001304422,5.63
106,현대위아,1629.270116,0.001249915,11.93
107,GKL,1613.942912,0.001238157,13.41
108,일진머티리얼즈,1603.985558,0.001230518,8.14
109,하이트진로,1603.98536,0.001230518,7.89
110,효성,1595.879677,0.001224299,9.57
111,팬오션,1585.594561,0.001216409,6.53
112,현대그린푸드,1477.242686,0.001133285,12.76
113,대웅제약,1453.221,0.001114857,9.12
114,녹십자,1437.186425,0.001102556,9.28
115,롯데지주,1399.359377,0.001073536,3.42
116,삼성카드,1369.992358,0.001051007,3.06
117,DB하이텍,1358.461236,0.001042161,11.09
118,동아에스티,1339.15103,0.001027347,13.33
119,BGF리테일,1324.39842,0.001016029,4.52
120,롯데정밀화학,1298.67654,0.000996296,11.15
121,OCI,1292.792038,0.000991782,8.66
122,대우건설,1291.16889,0.000990536,6.55
123,SK머티리얼즈,1280.98138,0.000982721,6.55
124,포스코인터내셔널,1232.787007,0.000945748,5.36
125,코리안리,1219.733618,0.000935734,11.12
126,현대홈쇼핑,1203.58609,0.000923346,12.46
127,SK네트웍스,1188.471458,0.000911751,8.06
128,HDC현대산업개발,1162.849676,0.000892095,10.32
129,종근당,1143.28953,0.000877089,11.37
130,케이엠더블유,1142.673672,0.000876617,5.62
131,코스맥스,1137.691306,0.000872794,14.17
132,한국콜마,1065.25692,0.000817225,9.85
133,쌍용양회,1062.469832,0.000815087,3.72
134,대덕전자,1051.920931,0.000806994,12.9
135,메리츠화재,1048.622883,0.000804464,5.17
136,롯데칠성,1043.3668,0.000800432,9.32
137,한국테크놀로지그룹,1040.314176,0.00079809,7.77
138,NHN,1023.393368,0.000785109,7.83
139,오뚜기,1018.54562,0.00078139,5.1
140,에스에프에이,995.702375,0.000763866,6
141,대우조선해양,962.196334,0.000738161,3.22
142,대상,951.670496,0.000730086,11.84
143,컴투스,950.215075,0.000728969,6.87
144,포스코케미칼,937.0063675,0.000718836,3.12
145,셀트리온,935.78086,0.000717896,0
146,녹십자홀딩스,934.0561125,0.000716573,8.93
147,풍산,931.586502,0.000714678,13.97
148,태영건설,931.4667695,0.000714586,10.2
149,한화생명,924.566643,0.000709293,4.61
150,동아쏘시오홀딩스,894.585975,0.000686293,13.56
151,한섬,878.6507785,0.000674068,11.31
152,현대차우,878.33934,0.000673829,5.03
153,휴켐스,851.3037855,0.000653088,9.85
154,다우기술,850.08964,0.000652157,9.97
155,효성티앤씨,831.637965,0.000638002,12.44
156,한미사이언스,816.4296985,0.000626334,3.29
157,한세실업,816.080271,0.000626066,11.79
158,한샘,815.741182,0.000625806,5.57
159,에스엠,813.2432615,0.00062389,9.02
160,F&F,803.09712,0.000616106,4.66
161,셀트리온헬스케어,801.98858,0.000615256,1.05
162,LG화학우,799.779,0.000613561,6.01
163,메리츠금융지주,788.861624,0.000605185,4.77
164,화승엔터프라이즈,781.614672,0.000599626,7.62
165,동서,773.73363,0.00059358,4.46
166,두산,761.991542,0.000584571,6.56
167,파라다이스,746.84941,0.000572955,4.16
168,에스엘,743.7507,0.000570578,8.5
169,넥센타이어,743.580068,0.000570447,8.34
170,LG상사,743.110004,0.000570086,12.74
171,DGB금융지주,732.0749112,0.00056162,6.08
172,부광약품,730.242513,0.000560215,8.01
173,더존비즈온,726.37479,0.000557248,3.02
174,두산인프라코어,718.021704,0.000550839,6.22
175,HDC,717.8428075,0.000550702,10.87
176,리노공업,714.473951,0.000548118,7.29
177,대한해운,712.62901,0.000546702,12.68
178,CJ CGV,695.98902,0.000533937,9.52
179,LIG넥스원,690.761148,0.000529926,9.94
