,Code,Name,Close,Stocks,Marcap,Assets,Liabilities,Equity,Profit,P/E
1598,000880,한화,32450.0,74958735.0,2432410950750.0,196177313000000,175753646000000,20423667000000,572100000000,0.1190976601190178
290,032190,다우데이타,13800.0,38300000.0,528540000000.0,43266517340634,38900996883281,4365520457353,222364621289,0.12107147479053991
253,005720,넥센,4945.0,53543977.0,264774966265.0,4310005396201,2220078517427,2089926878774,17493842309,0.126691019171122
42,012630,HDC,10300.0,59741721.0,615339726300.0,10324680541622,5824617179999,4500063361623,94520049718,0.1367402360481588
700,058650,세아홀딩스,111000.0,4000000.0,444000000000.0,5351824871409,2480106593967,2871718277442,87469932497,0.1546112665325568
808,002030,아세아,118500.0,2191024.0,259636344000.0,3024461042455,1407384982309,1617076060146,65492648214,0.16055914152644024
142,036530,SNT홀딩스,18150.0,16303886.0,295915530900.0,2398003898268,664833923090,1733169975178,17406890111,0.170736589681349
8,001040,CJ,97300.0,29176998.0,2838921905400.0,40254872424000,24001740796000,16253131628000,276093146000,0.17466922500702953
516,009200,무림페이퍼,2755.0,41609310.0,114633649050.0,2224243245808,1576502788563,647740457245,17239602141,0.1769746628727889
818,054800,아이디스홀딩스,12750.0,10347756.0,131933889000.0,903235797744,214417510491,688818287253,12287387295,0.19153656550866405
295,008060,대덕,7670.0,33890150.0,259937450500.0,1609977971674,263444283052,1346533688622,13630792920,0.19304192141379825
174,012320,경동인베스트,36250.0,2365023.0,85732083750.0,586055554632,148845454895,437210099737,3691071405,0.19608898285188608
398,042670,현대두산인프라코어,8100.0,79524373.0,644147421300.0,13755564753723,10478629704903,3276935048820,156002059981,0.19657009116856092
1164,000760,이화산업,16550.0,2800000.0,46340000000.0,276107586529,42200109938,233907476591,3744469020,0.198112521563507
1586,003300,한일홀딩스,13550.0,28815780.0,390453819000.0,3233384092161,1312055295035,1921328797126,54683920183,0.20322071869429967
76,092230,KPX홀딩스,66300.0,4224646.0,280094029800.0,1810863471052,444996431228,1365867039824,50262114158,0.20506683420378294
485,005990,매일홀딩스,9910.0,13718304.0,135948392640.0,1229226109775,581946532976,647279576799,46539224405,0.2100304065088958
1532,015760,한국전력,23100.0,641964077.0,14829370178700.0,206982941000000,137290234000000,69692707000000,673853000000,0.21278223815728667
889,025530,SJM홀딩스,3720.0,14934008.0,55554509760.0,317163530257,57887820284,259275709973,2268744762,0.21426808460300906
165,000860,강남제비스코,24250.0,6500000.0,157625000000.0,915530950770,217490226915,698040723855,4102691019,0.22581060762400812
1507,003380,하림지주,9190.0,92341820.0,848621325800.0,10373430828452,6623689513056,3749741315396,128587165636,0.22631463197625393
990,009970,영원무역홀딩스,47800.0,13635592.0,651781297600.0,3911304060554,1118498048063,2792806012491,83729006868,0.23337865024812582
71,001940,KISCO홀딩스,16800.0,18476380.0,310403184000.0,1549507364414,220718932170,1328788432244,60483226869,0.23359865006937533
23,004840,DRB동일,5630.0,19930000.0,112205900000.0,804169630014,338773450118,465396179896,6423145528,0.2410975956551129
17,000590,CS홀딩스,64300.0,1154482.0,74233192600.0,337439317199,32883931804,304555385395,5262408392,0.24374283352015458
1668,005010,휴스틸,13950.0,7837615.0,109334729250.0,685625418582,245735636124,439889782458,12537602699,0.2485502814797457
396,000150,두산,133500.0,16523835.0,2205931972500.0,32083757320830,23222443215101,8861314105729,200103804413,0.24893959814310443
289,023590,다우기술,23200.0,44866617.0,1040905514400.0,42701805648434,38541751335574,4160054312860,218151331685,0.2502144049375131
508,101330,모베이스,3625.0,23958188.0,86848431500.0,974796878349,628084984347,346711894002,6688255846,0.2504916416265172
459,023530,롯데쇼핑,103000.0,28288755.0,2913741765000.0,34315152435966,22731251780027,11583900655939,34516963265,0.25153373216353864
1279,071320,지역난방공사,40800.0,11578744.0,472412755200.0,6008225985512,4153243045458,1854982940054,31674671048,0.25467229104880484
1649,000850,화천기공,35150.0,2200000.0,77330000000.0,395564416881,93356943472,302207473409,4573840995,0.2558838109716219
304,084690,대상홀딩스,9800.0,36212538.0,354882872400.0,3368832821538,1983626751723,1385206069815,31440448647,0.2561950024138979
633,004690,삼천리,92500.0,4055025.0,375089812500.0,3884178322563,2433029927461,1451148395102,3580682313,0.2584779156742514
694,004360,세방,11950.0,19308690.0,230738845500.0,1197833803362,310950511075,886883292287,26879059853,0.26016821774260207
25,017940,E1,51500.0,6860000.0,353290000000.0,3969728727903,2619723501893,1350005226010,74443285865,0.26169528324283914
116,040610,SG&G,2285.0,34087196.0,77889242860.0,352446020180,57474023870,294971996310,11886509189,0.26405639801190656
