,Code,Name,Close,Stocks,Marcap,Assets,Liabilities,Equity,Profit,P/E,PER
32,007700,F&F홀딩스,40050.0,39114367.0,1566530398350.0,365270573610,58003664226,307266909384,1799860377484,5.09827238309044,0.8703621780595178
589,030790,비케이탑스,2980.0,15097060.0,44989238800.0,130999103818,126139796429,4859307389,24169495783,9.258364453716595,1.8614057655122411
1211,219550,디와이디대양,4210.0,7982786.0,33607529060.0,82047865118,50349272916,31698592202,17723317463,1.0602215027669133,1.8962324141719291
995,036000,예림당,2640.0,23034277.0,60810491280.0,893062167966,663676928020,229385239946,31746099349,0.2651020235404663,1.9155263962189901
290,032190,다우데이타,13800.0,38300000.0,528540000000.0,43266517340634,38900996883281,4365520457353,222364621289,0.12107147479053991,2.376906888047959
920,089530,에이티세미콘,1555.0,30962842.0,48147219310.0,267224675112,183653151014,83571524098,19856329598,0.5761199144045793,2.424779417181389
1485,005810,풍산홀딩스,27700.0,10409528.0,288343925600.0,1040292666631,189569690017,850722976614,116398845932,0.3389398588335422,2.4772060520982313
1236,026040,제이에스티나,4370.0,16503790.0,72121562300.0,78930865354,19783868249,59146997105,28532815458,1.2193613510414918,2.5276707237728493
121,004060,SG세계물산,704.0,202424960.0,142507171840.0,329772123160,71232795221,258539327939,54664095963,0.5512011382408454,2.6069611017889613
312,042660,대우조선해양,24650.0,107290669.0,2644714990850.0,9816076194555,7189674728803,2626401465752,1012241953046,1.0069728582384705,2.6127300719868645
1437,004870,티웨이홀딩스,1190.0,77468680.0,92187729200.0,798570229939,660102245901,138467984038,31991275441,0.6657692739622811,2.881652198269415
485,005990,매일홀딩스,9910.0,13718304.0,135948392640.0,1229226109775,581946532976,647279576799,46539224405,0.2100304065088958,2.9211572469908678
20,000210,DL,63900.0,20955884.0,1339080987600.0,7477304686087,3214229340111,4263075345976,450161200687,0.31411149907636154,2.9746699305857587
339,001130,대한제분,161500.0,1690000.0,272935000000.0,1252707886555,376411098554,876296788001,77600836657,0.31146411094649423,3.517165687354478
937,064090,에프앤리퍼블릭,2500.0,10989409.0,27473522500.0,27523562489,23212533176,4311029313,7641927705,6.3728452082552565,3.595103691183114
827,069920,아이에스이커머스,4000.0,25826362.0,103305448000.0,87225314351,23614632091,63610682260,27488543712,1.6240267252244371,3.758127352337784
14,023460,CNH,3345.0,37200000.0,124434000000.0,621654460243,448286292776,173368167467,32346365218,0.7177442192418949,3.8469237319671197
1431,019180,티에이치엔,4050.0,18000000.0,72900000000.0,317147915923,232541510513,84606405410,18703386261,0.8616368896270782,3.897689914687262
808,002030,아세아,118500.0,2191024.0,259636344000.0,3024461042455,1407384982309,1617076060146,65492648214,0.16055914152644024,3.9643586124602455
872,217480,에스디생명공학,3110.0,22415066.0,69710855260.0,164246394183,105173514247,59072879936,17060001414,1.1800822193792695,4.0862162650697655
627,002450,삼익악기,1800.0,90530915.0,162955647000.0,599037695141,325942425341,273095269800,39735266533,0.5966988996892542,4.1010331933892
398,042670,현대두산인프라코어,8100.0,79524373.0,644147421300.0,13755564753723,10478629704903,3276935048820,156002059981,0.19657009116856092,4.1290956118044395
1329,064820,케이프,4650.0,30901728.0,143693035200.0,3027389948065,2773956904374,253433043691,33822342681,0.5669861873860408,4.248464884743801
1598,000880,한화,32450.0,74958735.0,2432410950750.0,196177313000000,175753646000000,20423667000000,572100000000,0.1190976601190178,4.251723388830624
66,001390,KG케미칼,37400.0,13866096.0,518591990400.0,4691871110054,2983925242210,1707945867844,121802026872,0.30363491031166984,4.257663059621995
