,Code,Name,Marcap,Assets,Liabilities,Equity,Profit,P/E,PER
1144,000760,이화산업,46340000000.0,281305480526,43472301510,237833179016,63336929724.0,0.19484245298206487,0.7316426641129177
978,036000,예림당,60810491280.0,836683550967,656956969737,179726581230,49233229245.0,0.3383500140259136,1.2351513847972049
159,000860,강남제비스코,157625000000.0,909675321322,209987468409,699687852913,90144239433.0,0.22527902884659523,1.7485864986098785
1415,004870,티웨이홀딩스,92187729200.0,742561366469,653494501524,89066864945,50247735167.0,1.0350395655772455,1.8346643663363345
281,032190,다우데이타,528540000000.0,39655414460029,35942810391445,3712604068584,274653000000.0,0.14236368603711275,1.9243918690128998
1567,002320,한진,496261249600.0,3834745446169,2410050179210,1424695266959,192238000000.0,0.34832799764911515,2.581494031356964
1575,000880,한화,2432410950750.0,192837615000000,173845776000000,18991839000000,819935000000.0,0.12807664127470753,2.9665899745101747
136,036530,SNT홀딩스,295915530900.0,2403681896555,704899741235,1698782155320,93161936389.0,0.174192747418081,3.176356593366601
386,042670,현대두산인프라코어,644147421300.0,13176552160147,8357095022184,4819457137963,187299000000.0,0.1336555970642487,3.439139671327663
280,023590,다우기술,1040905514400.0,39069855435002,35562917553572,3506937881430,268339000000.0,0.29681321699817426,3.8790690671128685
19,000210,DL,1339080987600.0,6618393081146,3241341313033,3377051768113,324616000000.0,0.3965236779145498,4.125123184316238
580,072950,빛샘전자,45609887880.0,79333361082,16895248535,62438112547,10388397756.0,0.7304815283400402,4.390464145797384
92,035420,NAVER,67430123647500.0,30431007256484,7997815194027,22433192062457,15314500000000.0,3.005819388509916,4.4030248227170325
801,020560,아시아나항공,1633338219800.0,13844252643812,13205960795627,638291848185,346882000000.0,2.5589206950463823,4.708627774862921
61,001390,KG케미칼,518591990400.0,4482456536229,2892473897698,1589982638531,107598000000.0,0.3261620459448111,4.819717749400547
1230,229000,젠큐릭스,118051578000.0,40530067371,9405634049,31124433322,23832784783.0,3.7928908384833595,4.953327069197829
925,950130,엑세스바이오,637337498850.0,335852386706,119908009580,215944377126,125215000000.0,2.9513965926425767,5.0899452849099545
1257,071320,지역난방공사,472412755200.0,6232649847811,4346095312103,1886554535708,92248549359.0,0.250410336016451,5.1210860060414625
1511,006200,한국전자홀딩스,71608798080.0,426358817890,204798378479,221560439411,13546919428.0,0.3232020945181641,5.285983906569375
384,000150,두산,2205931972500.0,31439866332919,23196593173321,8243273159598,402302000000.0,0.26760389105043036,5.48327369115739
91,065150,엠피대산,102355724885.0,69077364282,19153668178,49923696104,18627915296.0,2.05024332877467,5.494749318888035
135,003570,SNT중공업,305259758460.0,902706973014,256750260632,645956712382,54459759076.0,0.4725699920886932,5.605235198231452
1638,090710,휴림로봇,99151776437.0,113467498776,50935699687,62531799089,17231018895.0,1.5856216817923257,5.754260792190954
619,004690,삼천리,375089812500.0,4231343637102,2783549923355,1447793713747,64727905263.0,0.25907683459215963,5.794870249175362
889,298690,에어부산,500313600000.0,996620143216,942763215104,53856928112,85462449978.0,9.289679481153398,5.854192105758637
1028,037400,우리조명,74998769560.0,753619044804,555198226246,198420818558,12227440407.0,0.37797832961805494,6.1336442512583815
57,151860,KG ETS,514800000000.0,2697995113109,1576223540895,1121771572214,82574432707.0,0.4589169602363499,6.234375255433749
1569,003480,한진중공업홀딩스,126978191600.0,1829063000000,1453156000000,375907000000,19454000000.0,0.3377915058777836,6.527099393440937
715,035610,솔본,137550364910.0,239453252220,32451944543,207001307677,20914263874.0,0.664490318701901,6.576868578243319
32,078930,GS,3916383182700.0,27315876000000,16134997000000,11180879000000,584635000000.0,0.3502750707435435,6.698851732619498
38,012630,HDC,615339726300.0,9969843732537,5576408276819,4393435455718,90693562601.0,0.1400588975306655,6.784822523811797
1,006840,AK홀딩스,337150427450.0,4197422025806,3015052766615,1182369259191,48953174578.0,0.2851481674013454,6.887202522745449
600,010140,삼성중공업,3717000000000.0,12073153535355,8736728826239,3336424709116,535870000000.0,1.114066800262019,6.936383824435031
1174,000230,일동홀딩스,154641360000.0,875980355721,598929701392,277050654329,21658380489.0,0.5581699865482436,7.140024161942314
1396,091440,텔레필드,28169936250.0,54316486435,37258584305,17057902130,3669236357.0,1.651430289335351,7.677329424761284
858,217480,에스디생명공학,69710855260.0,141297082088,63374837369,77922244719,9051915703.0,0.8946207275135415,7.701226739981275
1495,036460,한국가스공사,3997152900000.0,37614691445451,29330844646912,8283846798539,515075000000.0,0.48252375945737763,7.760331796340338
1314,046070,코다코,55471243520.0,347196346275,322567682690,24628663585,7145890369.0,2.2523042441403343,7.762677658846126
560,121800,비덴트,760468853250.0,570559388628,138061222161,432498166467,97277785706.0,1.7583169414615876,7.817497568749604
973,009970,영원무역홀딩스,651781297600.0,3791398150233,1097196529953,2694201620280,83316538941.0,0.24192001544868139,7.822952151931733
868,214310,에스엘바이오닉스,33608986587.0,73986533087,31227320489,42759212598,4284244801.0,0.7860057411013226,7.8447866889294495
794,002030,아세아,259636344000.0,2951165009146,1399552228939,1551612780207,33007168686.0,0.16733320794467935,7.866059233069719
949,138690,엘아이에스,77488774275.0,199714096348,165313599394,34400496954,9832285786.0,2.252548106459544,7.881053903593278
1580,034810,해성산업,365034727300.0,1990773298138,906552489027,1084220809111,46316712594.0,0.33667932235990555,7.881274530422689
1439,004720,팜젠사이언스,176555196000.0,165889418350,58394278526,107495139824,22322969910.0,1.642448172904104,7.909126640040344
294,084690,대상홀딩스,354882872400.0,3249652325800,1895533868772,1354118457028,44175204748.0,0.2620766821086627,8.033530900976006
472,005990,매일홀딩스,135948392640.0,1070519131723,469881479716,600637652007,16862400942.0,0.22634011069025625,8.0622203865042
495,101330,모베이스,86848431500.0,990583541221,652658599376,337924941845,10746288666.0,0.2570050941662536,8.081713994411697
981,015360,예스코홀딩스,222600000000.0,1569494082000,1032845413000,536648669000,27281935000.0,0.41479651932202966,8.159245302798354
416,106520,디지탈옵틱,59744130000.0,105586536361,87674412553,17912123808,7222377850.0,3.3354018005009984,8.272085903121228
24,017940,E1,353290000000.0,3757098040624,2481342383007,1275755657617,42674737030.0,0.27692606957347526,8.278668471973006
775,004920,씨아이테크,38873022587.0,74678021028,46462223387,28215797641,4610963877.0,1.3777041883272556,8.430563245334225
542,299910,베스파,86582963800.0,52596726816,29750846968,22845879848,10178137151.0,3.789872150955033,8.506759391770746
1172,101930,인화정공,109180948500.0,329808396838,154228978463,175579418375,12827420335.0,0.6218322711766415,8.511528089720153
1414,091810,티웨이항공,426978179730.0,682059772919,612867842260,69191930659,49356892372.0,6.170924494566935,8.650831914454633
1524,010100,한국프랜지,86022436500.0,691894050155,444674711823,247219338332,9927424986.0,0.34795998193505917,8.665130849269758
28,050120,ES큐브,67616968710.0,933852146946,856334928537,77517218409,7726259481.0,0.8722832178166683,8.751578804242854
648,043710,서울리거,53778153000.0,98749535493,70173223067,28576312426,6007948357.0,1.881913670256147,8.951167653986543
875,025530,SJM홀딩스,55554509760.0,313335038004,58416459820,254918578184,6206359004.0,0.21793040803758448,8.951224014626789
1483,003380,하림지주,848621325800.0,9826542197386,6196094486323,3630447711063,94114743321.0,0.23375114953839193,9.016879777332884
730,115570,스타플렉스,35131835200.0,121178746279,62487755320,58690990959,3895749147.0,0.5985899134765366,9.017992143322159
924,054940,엑사이엔씨,45447760760.0,152929219834,87813017285,65116202549,4937916016.0,0.6979485747161088,9.203834292186958
1074,000910,유니온,135664969110.0,366570853981,178018783304,188552070677,14712496288.0,0.7195093038378853,9.221070745190458
1043,032940,원익,80414076600.0,292168273682,94853735942,197314537740,8720091833.0,0.40754258414532574,9.22170065866553
1339,002020,코오롱,416672058000.0,3773994811160,2866771773718,907223037442,45069286138.0,0.4592829335274,9.24514439221802
246,005720,넥센,264774966265.0,4171079851554,2103785863455,2067293988099,28439436147.0,0.12807804201495132,9.310134170607682
1541,016450,한세예스24홀딩스,316400000000.0,1880558910811,1123437300020,757121610791,33956604385.0,0.41789851919487847,9.317775016979219
1146,014990,인디에프,91640807225.0,124910030412,92994236362,31915794050,9598741997.0,2.8713309492295087,9.547168499126396
110,255220,SG,73378973925.0,216466057255,152149766023,64316291232,7615037261.0,1.1409080424166458,9.636062360562098
355,007590,동방아그로,102812706350.0,212604995119,62644119433,149960875686,10642403680.0,0.6855968657136773,9.66066590231052
238,042420,네오위즈홀딩스,398116126700.0,777250199808,97016557469,680233642339,41164474759.0,0.5852638004363736,9.67135203426731
660,035890,서희건설,413655222600.0,1289706253243,717846420329,571859832914,41202146767.0,0.7233507212635586,10.0396521797575
1641,028080,휴맥스홀딩스,54649263570.0,146854953393,24182943182,122672010211,5441667506.0,0.4454908945895761,10.042742139196037
1088,024800,유성티엔에스,112915810980.0,471494426435,196338938937,275155487498,11209084752.0,0.4103709215714651,10.07359775380883
63,111870,KH 일렉트론,84267665710.0,177098169254,65786368952,111311800302,8331774631.0,0.7570416207569497,10.114011653227589
1583,143210,핸즈코퍼레이션,121122504720.0,900015394284,595226235239,304789159045,11855911334.0,0.39739768008650567,10.2162120909802
1229,089590,제주항공,812341876500.0,1104005321581,966836595036,137168726545,79355828106.0,5.922209070254076,10.236700893788289
167,267290,경동도시가스,136183878600.0,791332259481,426385961506,364946297975,13283782799.0,0.37316141951747933,10.251889891654347
608,000070,삼양홀딩스,903530590500.0,4082286000000,1855693000000,2226593000000,86833000000.0,0.4057906364117735,10.405382636785554
318,015230,대창단조,109145918600.0,269250745578,59583344163,209667401415,10465913009.0,0.520566944901295,10.428704930581944
78,001120,LX인터내셔널,1023264000000.0,6039096691787,4173704681938,1865392009849,97805006065.0,0.5485517224247312,10.462286555352303
8,079160,CJ CGV,1126489107900.0,4222177059458,4051505323344,170671736114,106795000000.0,6.600326061882694,10.548144650030432
575,030790,비케이탑스,44989238800.0,129173756498,100431460173,28742296325,4262616073.0,1.5652625069093187,10.554372720773063
278,039560,다산네트웍스,268126776060.0,492919407375,222785116267,270134291108,25073925700.0,0.9925684553420973,10.693450210710324
409,013570,디와이,143178803520.0,836235770454,353128313005,483107457449,13384657455.0,0.29637050994004766,10.697233306222106
1529,014790,한라,199136241260.0,1529815287741,1173341958895,356473328846,18479288562.0,0.5586287251970787,10.7761854896024
846,052790,액토즈소프트,136534187900.0,249416782639,85037732662,164379049977,12597057746.0,0.8306057731754986,10.838577599071046
693,036630,세종텔레콤,346276000000.0,523818553170,132098490862,391720062308,31831316493.0,0.8839884226499779,10.878469323634455
209,011780,금호석유,5209975161000.0,5681312555428,2134264210892,3547048344536,475569000000.0,1.4688198904944816,10.95524552903995
1416,104480,티케이케미칼,512650247760.0,760342121335,437277024703,323065096632,46725846733.0,1.5868326634614893,10.971449071632172
287,000490,대동,234671996900.0,1082287339080,727053690514,355233648566,21264112344.0,0.6606130861964208,11.03605892894073
1049,030530,원익홀딩스,396230842530.0,1591092870317,439850115134,1151242755183,35488187681.0,0.34417662195582344,11.16514729046414
590,023600,삼보판지,231231000000.0,612649857900,158264009017,454385848883,20684406614.0,0.5088868867030667,11.179000892560968
1485,153360,하이골드3호,37871257550.0,29135146571,6452387703,22682758868,3366137611.0,1.6696054377859377,11.250656368367942
302,042660,대우조선해양,2644714990850.0,10018700334550,6383111776565,3635588557985,234703000000.0,0.7274516763018462,11.26834761741435
1423,208340,파멥신,185914410640.0,127920987191,97663300957,30257686234,16341439765.0,6.144369705013711,11.376868459178878
695,075580,세진중공업,363836518400.0,492568724785,310088191411,182480533374,31490279144.0,1.9938374339048253,11.553931190518632
503,009200,무림페이퍼,114633649050.0,2212345044912,1581872192961,630472851951,9792504903.0,0.18182170524117866,11.706264146457686
639,007540,샘표,125816250000.0,398602670323,96601241600,302001428723,10743742493.0,0.4166081284184932,11.710653906864817
1624,013520,화승코퍼레이션,123876848700.0,1273783473906,1035596324957,238187148950,10545467469.0,0.520081999579264,11.746928153176214
1035,105840,우진,210349404900.0,221509755180,75282538921,146227216259,17895407490.0,1.4385106294263699,11.754379162226051
487,096640,멜파스,60149636745.0,60650000598,31553150062,29096850536,5069170268.0,2.0672215596179395,11.865775573707756
653,021050,서원,98272401300.0,250696284682,136370996131,114325288551,8257676574.0,0.8595858584355213,11.900732660009844
410,210540,디와이파워,139677606200.0,324423939577,123836674673,200587264904,11673688685.0,0.6963433409735607,11.965164565290959
820,031310,아이즈비전,74965934880.0,207752432200,56961600424,150790831776,6199735556.0,0.4971518095434476,12.091795561739602
971,143540,영우디에스피,88976790525.0,94257822994,36968412669,57289410325,7354831441.0,1.5531106014224803,12.097733474759588
224,190510,나무가,120931184000.0,197660865087,148470807244,49190057843,9964388050.0,2.4584476884734774,12.136338267155303
1260,219750,지티지웰니스,48572594580.0,55014041969,42325270083,12688771886,3987759184.0,3.8279980928329223,12.180423224874454
367,084670,동양고속,60083056750.0,168597710273,66470125414,102127584859,4885185357.0,0.5883136944142195,12.29903317054424
796,002310,아세아제지,401251289600.0,923390739912,263694245228,659696494684,32485547546.0,0.608236200788368,12.351686208515416
1364,005740,크라운해태홀딩스,135110857700.0,1119176958466,626492205984,492684752482,10913911687.0,0.27423389301039147,12.379691312779816
1640,115160,휴맥스,202438173280.0,974787304833,651601552613,323185752220,16316217603.0,0.6263833473147531,12.407175376404545
1493,000140,하이트진로홀딩스,333017077750.0,4460159960358,3408017256836,1052142703522,26805630610.0,0.31651322262202686,12.423400239864755
1388,007980,태평양물산,117244244345.0,716922817491,546327551288,170595266203,9358798201.0,0.6872655200495722,12.527703004908505
320,140520,대창스틸,68182854890.0,264222874521,170202434036,94020440485,5434431794.0,0.7251918257166416,12.546455172236907
1299,105330,케이엔더블유,119533512700.0,171960124295,118911587395,53048536900,9423953649.0,2.2532857583862977,12.684008978830663
874,123700,SJM,72874873660.0,229268573596,48029724860,181238848736,5725810735.0,0.4020930069256429,12.727433202522716
589,009620,삼보산업,81145093260.0,317680114073,271976978056,45703136017,6348708931.0,1.7754819544509333,12.781353522726178
1348,121850,코이즈,29913598820.0,37352226765,22811276422,14540950343,2320169743.0,2.0571969585468244,12.892849288397947
115,016250,SGC이테크건설,140280317100.0,679195817712,535119513257,144076304455,10808384128.0,0.9736529378001528,12.978842668682768
1382,003240,태광산업,1104492800000.0,4290775149237,817879215453,3472895933784,83196520228.0,0.318032218948918,13.275709091836273
905,089530,에이티세미콘,48147219310.0,174951461937,125718041455,49233420482,3604578257.0,0.9779377268252747,13.357240674827718
1158,049070,인탑스,374100000000.0,795583900588,210787591202,584796309386,27829797413.0,0.6397099194979221,13.44242627599037
1587,267270,현대건설기계,801822275100.0,3611087619000,1950289240000,1660798379000,59442693000.0,0.48279326692430496,13.488996454114217
1385,004100,태양금속,57068500000.0,447294042296,343565561197,103728481099,4199896239.0,0.5501719430898924,13.588073788601042
1633,298020,효성티앤씨,2449468012000.0,3189681314761,2302707972611,886973342150,180114000000.0,2.761602740013081,13.599542578589116
776,352700,씨앤투스성진,195912407600.0,179217169091,31366655485,147850513606,14310005239.0,1.325070862601654,13.690589509084665
1599,004560,현대비앤지스틸,238245213800.0,657700416150,213539374587,444161041563,17324655760.0,0.5363937660124727,13.751800734192482
685,003030,세아제강지주,468007241000.0,2475729487394,1099500888971,1376228598423,33706240707.0,0.3400650455427845,13.884883961645887
76,003550,LG,14707642845500.0,25162045000000,5219390000000,19942655000000,1057390000000.0,0.7374967297734429,13.909383335855265
379,032960,동일기연,48520497250.0,61351078355,4986986964,56364091391,3470096437.0,0.8608405822318917,13.982463637796588
452,011170,롯데케미칼,7523454470500.0,20996695052348,6603837355450,14392857696898,537900000000.0,0.5227213822951562,13.986715877486521
536,046310,백금T&A,63129674645.0,102167968779,43935245794,58232722985,4505534587.0,1.084092781669533,14.011583625869966
1243,044380,주연테크,65534506800.0,60934892427,18636826461,42298065966,4628177229.0,1.5493499597044909,14.159895690545952
767,010280,쌍용정보통신,58143306906.0,111796455302,88109392210,23687063092,4103805087.0,2.4546439835184612,14.168145336674465
656,122690,서진오토모티브,54813195030.0,882726705261,732900045957,149826659304,3845367807.0,0.3658440713063181,14.254343870622622
1087,002920,유성기업,86405175000.0,404320346042,105561370720,298758975322,6043719845.0,0.2892136542738949,14.296687671829037
1437,036580,팜스코,220734937430.0,1032684897735,713074852326,319610045409,15409297981.0,0.6906382968893513,14.324788689411482
1181,020760,일진디스플,112021929500.0,130303717243,85263108312,45040608931,7761978583.0,2.487131771944116,14.432135866149684
20,375500,DL이앤씨,2545674047000.0,8185000920067,4163956253889,4021044666178,174571000000.0,0.6330877317559522,14.582456690973872
88,000680,LS네트웍스,256897832160.0,1222876430428,712050896582,510825533846,17616868301.0,0.5029071867763127,14.582491494553405
290,007720,대명소노시즌,141120630000.0,217075258648,65697531384,151377727264,9662456665.0,0.9322417012767551,14.60504661419871
16,000590,CS홀딩스,74233192600.0,331204701895,32632133717,298572568178,5077336991.0,0.2486269688236878,14.620497463844625
505,095500,미래나노텍,116274694515.0,375392140022,159047618871,216344521151,7940708523.0,0.5374515328439716,14.642861424545957
13,023460,CNH,124434000000.0,599663160092,458351395681,141311764411,8375266115.0,0.8805636283620969,14.857318954575092
843,161000,애경유화,406908000000.0,590153204344,182252680783,407900523561,27133754429.0,0.9975667509511015,14.996376600397955
