,0,1,2,3,4,5,6,7,8,C/M
46,028300,에이치엘비,39800.0,119285.02003624217,88256.18343753462,11267.42395536189,42250.0,2.0889037500008194,2.221804630221059e-05,0.4787199984679082
385,245620,EDGC,5260.0,17560.522730526623,11409.383550543671,2294.9323465157768,5260.0,2.1690843251984164,0.00368607121906289,0.4610240313771689
824,038340,UCI,781.0,3130.247464614287,2385.9385327327664,604.0510187840669,781.0,3.054978915150789,0.003942456587864716,0.3273345014070716
1113,043200,파루,1403.4900085075724,3120.0,2517.958382145828,426.7329131742086,1500.0,1.6786389214305522,0.008528666562949913,0.5957207278071394
2210,326030,SK바이오팜,104000.0,217000.0,163310.3448275862,22121.934996127537,111500.0,1.4646667697541365,0.00958945953442183,0.6827491554054054
2222,347890,엠투아이,10600.0,23050.0,16254.193548387097,2402.5348818278712,10750.0,1.5120180045011253,0.010981873729872915,0.661367785980789
81,000210,DL,61000.0,219510.55554915135,169604.7880336527,41104.13090790128,78000.0,2.174420359405804,0.012920166787490485,0.4598926769952
159,067630,에이치엘비생명과학,11850.0,34485.34734843175,22148.8533411355,4203.188583092018,13100.0,1.6907521634454579,0.015665058741516025,0.5914527401592523
759,006620,동구바이오제약,10900.0,41500.0,22640.650406504064,5118.106512092366,11700.0,1.9350983253422278,0.016273135486384618,0.5167696064349325
611,095270,웨이브일렉트로,2750.0,11039.336937996877,6432.649499411267,1662.8361037847021,3040.0,2.116003124806338,0.020661275096818334,0.47258909416380124
2212,290520,신도기연,16200.0,26950.0,20969.476744186046,1870.7384364741154,17200.0,1.2191556246619795,0.021954038628175937,0.8202398281000901
456,040350,큐로컴,1380.0,2590.0220061811438,2018.1766051301433,286.8645725260434,1450.0,1.3918459345725127,0.023815603357447153,0.7184703243086578
910,000215,DL우,37000.0,127559.50809998132,83034.17896068592,21908.31232230929,39850.0,2.083668229879195,0.02435438060813461,0.4799228522373627
1011,061250,화일약품,3095.878128696644,16650.0,9691.837476623503,2365.1406616426134,5230.0,1.8531238005016257,0.029613815063405744,0.5396293543525306
2177,001529,동양3우B,19450.0,38950.0,28667.886178861787,2445.1879447091696,24100.0,1.1895388455959248,0.03087319537427415,0.8406619117167449
1030,049520,유아이엘,3485.0,4360.0,3951.768292682927,191.47287112877808,3600.0,1.0977134146341463,0.033092371403966446,0.9109845854742398
435,228760,지노믹트리,11600.0,21300.0,16487.19512195122,2314.865152006939,12300.0,1.3404223676383105,0.035238789950599,0.7460335071563298
