,Code,Name,Min,Max,Mean,Std,Current,M/C,Cdf,C/M,Max/Current
464,027740,마니커,1815.0,3985.000080313357,3364.2146147620338,458.4723091136882,1815.0,1.8535617712187513,0.00036364419214054836,0.539501847484954,2.195592330751161
91,007310,오뚜기,472500.0,601000.0,551166.612426976,26521.322489347556,472500.0,1.166490185030637,0.0015076944604547414,0.8572725367369771,1.271957671957672
354,234080,JW생명과학,14550.0,24800.0,19160.483870967742,1660.033702856017,15250.0,1.2564251718667372,0.009244783138216037,0.7959089187255356,1.6262295081967213
7,051900,LG생활건강,1171000.0,1770000.0,1497812.3324396783,116983.76487936926,1229000.0,1.2187244364846854,0.010784874771103632,0.820530031287812,1.4401952807160292
116,051905,LG생활건강우,598000.0,805000.0,706898.1233243968,31013.44352477358,636000.0,1.11147503667358,0.0111258169861044,0.8997053168128704,1.2657232704402517
206,001630,종근당홀딩스,81500.0,139000.0,108814.47721179624,12139.370081514024,81500.0,1.3351469596539416,0.012222134010956662,0.7489812209580219,1.705521472392638
199,001060,JW중외제약,22450.0,40305.72068817692,31198.47686616563,3736.57532829878,22800.0,1.3683542485160365,0.012299571453099768,0.7308049074897731,1.7677947670253036
643,084670,동양고속,20750.0,31400.0,24901.340482573727,1861.3133657683595,20750.0,1.2000646015698182,0.012862817032662606,0.8332884735470812,1.5132530120481928
229,008490,서흥,43350.0,59700.0,53098.79356568365,3101.5699966032457,46200.0,1.1493245360537587,0.013064443115901237,0.8700762653458447,1.2922077922077921
287,002210,동성제약,8730.0,16600.0,11771.76076051475,1396.8637213578488,8730.0,1.3484262039535795,0.01471923987229596,0.7416052855306464,1.9014891179839633
185,170900,동아에스티,72097.61777003645,107496.44813146905,86209.32029607419,6058.464949650791,73200.0,1.1777229548644015,0.015884844024354677,0.8490961272934824,1.468530712178539
477,004840,DRB동일,5510.0,8790.0,6948.7667560321715,620.8163908515402,5630.0,1.2342392106629079,0.016824787867656375,0.8102157113149092,1.5612788632326822
520,000520,삼일제약,7770.0,12448.244525877164,9745.2157370171,823.245666201176,8000.0,1.2181519671271377,0.017006356042924407,0.8209156385950577,1.5560305657346456
119,005690,파미셀,12050.0,24100.0,18043.96782841823,2761.641501699387,12200.0,1.4790137564277237,0.017167255054399217,0.6761262332105076,1.9754098360655739
55,000120,CJ대한통운,141000.0,189500.0,166380.69705093832,10639.55404448429,144500.0,1.1514235090030334,0.019865118114164054,0.8684901708024493,1.3114186851211074
