,0,1,2,3,4,5,6,7,8,C/M,Max/Current
72,000210,DL,61000.0,273824.768985851,184518.82496111427,28143.971656367794,82000.0,2.2502295726965156,0.00013491934138102886,0.4443991013777634,3.3393264510469636
894,326030,SK바이오팜,104000.0,217000.0,163008.57142857142,22416.606265293634,110500.0,1.4751906916612798,0.009580183615708211,0.6778784638844584,1.9638009049773755
425,000215,DL우,37000.0,127559.50809998132,75270.3790219284,14902.917381801246,41000.0,1.8358629029738633,0.010736149602029484,0.5447029832021377,3.1112075146336906
578,096300,베트남개발1,227.0,709.5635775863243,404.3184540879669,76.71401894252915,231.0,1.7502963380431469,0.011932984419547406,0.5713318243686737,3.071703799074997
515,019685,대교우B,2175.0,6000.0,4478.741991846244,910.9413861681912,2610.0,1.7159931003242312,0.0201120374521201,0.5827529258777633,2.2988505747126435
273,000155,두산우,25800.0,92604.18555212085,70082.789490024,15454.84676255913,38600.0,1.81561630803171,0.020820914837407115,0.5507771634217634,2.399072164562716
41,021240,코웨이,48250.0,118091.42196249007,88862.28404434484,10937.671085625618,67200.0,1.3223554173265601,0.02382252460232249,0.756226341948011,1.757312826822769
176,003920,남양유업,255000.0,963000.0,633170.0640652301,175141.728059059,297500.0,2.1283027363537146,0.02764676945986094,0.46985796847361866,3.2369747899159664
18,000810,삼성화재,126000.0,328000.0,260873.3255678509,38920.232499950944,188000.0,1.3876240721694197,0.030577272505902416,0.7206562786393537,1.7446808510638299
73,000150,두산,26050.0,177326.55645617377,117619.37237530503,37641.072026340255,48450.0,2.4276444246708984,0.03306041327414084,0.41192193957134565,3.659990845328664
187,019680,대교,3075.0,11000.0,7098.663366336634,1624.456912551888,4140.0,1.7146529870378342,0.03427876317530952,0.583208385346565,2.657004830917874
153,071320,지역난방공사,26000.0,87400.0,60325.42224810716,13194.035123172493,37950.0,1.5896026942847736,0.04495486415590527,0.6290880127439268,2.303030303030303
445,034590,인천도시가스,20950.0,40250.0,29932.462113335532,2830.494153958492,25350.0,1.1807677362262536,0.05272773353232255,0.8469066094200801,1.5877712031558184
216,017940,E1,22400.0,76500.0,58877.63541059988,10361.582125768651,42150.0,1.3968596775943032,0.053221420892071804,0.7158915215608614,1.8149466192170818
181,002960,한국쉘석유,206000.0,595000.0,386676.4705882353,85123.0479494126,249500.0,1.5498054933396204,0.05353452525443182,0.64524226059177,2.3847695390781563
226,005720,넥센,2985.0,9264.9385662929,6846.395026927728,1409.1069678144554,4625.0,1.4803016274438332,0.05746038443095169,0.6755379994594668,2.003229960279546
237,078520,에이블씨엔씨,5790.0,21617.331544587025,12426.496970165917,3019.289560378743,7820.0,1.5890661087168692,0.06354366350842809,0.629300439116076,2.7643646476453996
319,015360,예스코홀딩스,26300.0,48800.0,37974.519510774604,2593.093944591239,34050.0,1.1152575480403701,0.06508262384567787,0.896653873140881,1.433186490455213
438,000850,화천기공,23950.0,79400.0,50614.21083284799,12193.735333540255,32200.0,1.5718699016412419,0.06550423568674882,0.6361849660432245,2.4658385093167703
545,000157,두산2우B,25800.0,126378.64514164011,74100.49759268053,11401.414492458332,57100.0,1.2977320068770672,0.06796936591179747,0.7705751223678718,2.213286254669704
414,007980,태평양물산,1129.8912860872513,6000.880501010321,3308.8749362200924,921.9995857227949,1935.0,1.7100128869354483,0.06809849399334973,0.5847909145246981,3.101230233080269
410,035000,지투알,3400.0,11600.0,8022.1287128712875,1570.904755516979,5690.0,1.4098644486592773,0.06882798601277308,0.7092880460607107,2.038664323374341
