,Code,Name,Min,Max,Mean,Std,Current,M/C,Cdf,C/M,Max/Current
120,042670,현대두산인프라코어,6635.5611790236935,48895.825887240884,21063.90935815356,5836.700197030432,8100.0,2.6004826368090814,0.013172010118477408,0.3845440018884527,6.036521714474183
69,000210,DL,44947.613853941926,201766.72098394894,131935.5129873736,31194.006640889234,63900.0,2.064718513104438,0.014590066916663752,0.4843275214772183,3.157538669545367
537,000215,DL우,37000.0,127559.50809998132,75559.80721554243,17596.72523619421,39900.0,1.893729504148933,0.021356659758768975,0.5280585204006806,3.1969801528817374
191,170900,동아에스티,66197.81270979768,126495.8203593566,93372.02798862978,10110.524353678267,73200.0,1.2755741528501336,0.023013178590571202,0.7839606954763133,1.7280849775868388
165,001060,JW중외제약,18841.71039399114,48031.53526154175,34353.38146260823,5862.259471925675,22800.0,1.50672725713194,0.024372983142164892,0.663690123920306,2.106646283400954
218,096760,JW홀딩스,3510.0,9889.755555361391,6309.2038339763085,1299.175187948502,3785.0,1.6668966536265015,0.02601242987113587,0.5999172161179874,2.612881256370249
553,084670,동양고속,20750.0,36502.020293766094,27780.128205139194,3628.682072817981,20750.0,1.3388013592838166,0.02634958723518834,0.7469367976552875,1.7591335081333057
906,950210,프레스티지바이오파마,22400.0,50000.0,30786.216216216217,4466.020473087865,22400.0,1.3743846525096526,0.030205445339741163,0.7275983460481612,2.232142857142857
87,007310,오뚜기,426111.3709466362,833773.3773676933,635876.6360218396,92391.95540009353,472500.0,1.3457706582472795,0.03850543504908843,0.7430686602295161,1.7645997404607268
495,152550,한국ANKOR유전,1550.0,1980.0,1776.4442636289666,107.90106395515093,1590.0,1.1172605431628722,0.04200140270245544,0.8950463758158708,1.2452830188679245
926,381970,케이카,23000.0,25850.0,24500.0,782.905598696668,23150.0,1.0583153347732182,0.04232271570424671,0.9448979591836735,1.1166306695464363
912,383800,LX홀딩스,8710.0,12250.0,10204.594594594595,851.9728802595706,8810.0,1.158296775776912,0.05082566005366338,0.863336599835792,1.3904653802497162
613,027740,마니커,1811.4061451004393,6247.956194102168,3005.458651673205,739.4010592415217,1815.0,1.6559000835665043,0.05369554076479727,0.603901171286968,3.4424001069433436
819,143210,핸즈코퍼레이션,4900.0,11650.0,7573.65191064561,1368.497437821382,5540.0,1.3670851824270054,0.06863330628830829,0.7314833141740927,2.1028880866425994
909,361610,SK아이이테크놀로지,138000.0,235500.0,189311.47540983607,30075.684686726974,145500.0,1.3011097966311758,0.07259856949404002,0.7685746449601663,1.6185567010309279
911,380440,엔에이치스팩19호,2085.0,2470.0,2186.782608695652,60.7056144414498,2100.0,1.0413250517598343,0.0764209842157771,0.9603149355813585,1.1761904761904762
222,006060,화승인더,5660.0,13400.0,8771.358828315704,1572.8620851977767,6540.0,1.3411863651858875,0.07799886859803926,0.74560853432282,2.0489296636085625
243,214420,토니모리,6045.130906849598,25172.05303540018,12858.346965255158,4553.26770432981,6580.0,1.9541560737469845,0.08396800461291448,0.5117298528170046,3.8255399749848293
890,326030,SK바이오팜,91400.0,217000.0,139632.73273273272,30286.748723370256,98500.0,1.4175911952561697,0.08721441001414698,0.7054219886144907,2.203045685279188
372,234080,JW생명과학,10700.0,31150.0,20228.122448979593,3778.9622252279632,15250.0,1.3264342589494815,0.09386480845952844,0.7539009138620913,2.042622950819672
133,057050,현대홈쇼핑,45050.0,147500.0,96617.73799837266,20871.252775916095,69400.0,1.3921864264895196,0.09610352377731146,0.7182946055016203,2.1253602305475505
197,019680,대교,3075.0,8900.0,6275.179007323027,1631.9824829353436,4200.0,1.4940902398388158,0.1017630751434368,0.6693036158966417,2.119047619047619
112,161890,한국콜마,31400.0,85501.86374566346,59549.53170464971,12293.758867513568,43950.0,1.354938150276444,0.10223864068572391,0.7380410683660896,1.9454348975122517
916,323410,카카오뱅크,55300.0,92000.0,70080.0,10263.755548828201,57200.0,1.2251748251748251,0.10475729921615679,0.8162100456621005,1.6083916083916083
270,009410,태영건설,9330.0,42423.605812145055,19679.84100726466,7105.465591989556,10800.0,1.8222075006726535,0.10570096170747412,0.5487849213829149,3.92811164927269
913,38380K,LX홀딩스1우,13300.0,27900.0,17148.64864864865,2930.9125127250313,13500.0,1.2702702702702704,0.1065870362050067,0.7872340425531914,2.066666666666667
114,003520,영진약품,3695.0,13300.0,7164.002453818444,1828.327896178869,4895.0,1.4635347198811939,0.10729807229579924,0.6832772645675106,2.7170582226762003
584,006570,대림통상,2400.0,6450.0,4609.231082180635,724.8186892080623,3710.0,1.2423803456012492,0.10737141775038889,0.8049064874058762,1.738544474393531
918,259960,크래프톤,405515.0627970172,508946.9754248385,477800.3348780871,21721.464167581566,451000.0,1.059424245849417,0.10863535323162232,0.9439089240384788,1.1284855330927683
923,271940,일진하이솔루스,59600.0,91600.0,74690.69767441861,7080.819630842059,66000.0,1.131677237491191,0.1098441106139893,0.8836441759815674,1.387878787878788
767,004105,태양금속우,1600.0,5980.0,3524.26769731489,544.1553842319175,2860.0,1.232261432627584,0.11109382103541415,0.8115161065032063,2.090909090909091
299,078520,에이블씨엔씨,5790.0,19145.27284688208,11249.051283642848,2940.0062755686004,7670.0,1.4666298935649085,0.11173329833021217,0.6818352771804751,2.4961242303627222
256,002795,아모레G우,16100.0,68200.0,37376.52563059398,16046.39383479471,17850.0,2.0939230045150685,0.11182505781938346,0.47757247895157917,3.820728291316527
188,115390,락앤락,6726.348153826435,32165.1758940853,16107.019768193497,4793.205715156412,10350.0,1.5562337940283573,0.11486023697731274,0.6425769725842223,3.1077464631966474
660,096300,베트남개발1,221.0,642.5431308497922,362.5370196931848,89.39900457637496,256.0,1.416160233176503,0.1166889533706233,0.7061347837433344,2.5099341048820007
427,025560,미래산업,10454.982590997723,60077.84839511708,25771.63115583668,10003.887011538323,13950.0,1.8474287566908014,0.11866162779373174,0.5412928625140845,4.306655798933124
861,293480,하나제약,13307.866911878313,30216.14987183329,21768.002343604665,1583.169273107115,19900.0,1.093869464502747,0.11901736709132005,0.9141858626198892,1.518399491046899
526,078000,텔코웨어,10450.0,20300.0,12962.571196094386,1538.1662574911456,11150.0,1.162562439111604,0.11931909684509884,0.8601688531793359,1.8206278026905829
314,003120,일성신약,76000.0,151000.0,100051.09845402767,20075.54727891911,76700.0,1.3044471767148327,0.12238204473035591,0.7666082750230151,1.96870925684485
150,071840,롯데하이마트,11250.0,80700.0,47221.3588283157,17378.341354499724,27150.0,1.7392765682620883,0.12405258232390065,0.5749516886777905,2.972375690607735
63,012750,에스원,73800.0,108000.0,91743.77542717657,7039.023663722907,83700.0,1.0961024543270796,0.12657323341204824,0.91232347491998,1.2903225806451613
356,123690,한국화장품,6700.0,22600.0,13203.816110659072,2888.904248055098,9930.0,1.3296894371257877,0.12855715736526785,0.7520553086151957,2.2759315206445114
