,0,1,2,3,4,5,6,7,8,C/M,Max/Current
358,043200,파루,1160.0,4759.954343700099,2551.9433683880907,473.1569829160517,1280.0,1.993705756553196,0.0035918548387577766,0.5015785286836122,3.7187143310157027
76,016250,SGC이테크건설,49350.0,279755.1257348789,183172.28090828282,56840.98561089708,51000.0,3.5916133511428003,0.010027991731470775,0.2784264068073514,5.485394622252527
289,069410,엔텔스,4890.0,18650.0,12235.680521597393,2248.06150076619,7940.0,1.5410176979341805,0.02801272479107587,0.6489218140327365,2.3488664987405543
189,046070,코다코,974.0,3840.0,2606.1169007597105,788.5843439689205,1215.0,2.144952181695235,0.038860212878943395,0.4662108593999812,3.1604938271604937
215,099440,스맥,1082.5093818502783,3853.9137125512157,2670.330065539521,572.1702481615472,1705.0,1.5661759915187807,0.045788427084395227,0.6384978478888964,2.2603599487103905
455,006620,동구바이오제약,10900.0,43850.0,22319.50261780105,6713.081106588587,11000.0,2.029045692527368,0.045880000698582994,0.49284252379472326,3.9863636363636363
330,037950,엘컴텍,1225.0,3866.7411892823043,2055.101982407944,418.50537735463996,1380.0,1.4892043350782203,0.05335854811844113,0.6714995225604652,2.801986369045148
58,014620,성광벤드,4095.0,14150.0,9784.686226568867,1825.2546369088568,7220.0,1.3552196989707572,0.07999406689625765,0.7378877393528633,1.9598337950138505
152,049520,유아이엘,3485.0,8200.0,5345.041011031177,1086.153141083015,3850.0,1.3883223405275784,0.08434039233952523,0.7202938185234334,2.1298701298701297
105,026040,제이에스티나,1390.0,16000.0,6505.036674816626,3261.379009735992,2025.0,3.2123637900329016,0.08477311668314746,0.3112972456926361,7.901234567901234
264,086900,메디톡스,104900.0,807677.760613265,409647.63901417964,156024.47324681422,199200.0,2.056464051276002,0.08869872371840354,0.48627156860802717,4.054607231994302
7,102940,코오롱생명과학,11200.0,127177.65928437564,62618.63847795118,31955.672459912224,20450.0,3.0620361113912558,0.09348465111272786,0.3265800805809712,6.218956444223748
78,035810,이지홀딩스,2321.64892779867,9869.610688579098,6052.486766196796,1182.9857322475682,4535.0,1.3346167069893708,0.09978808768854719,0.7492787964986596,2.176319887228026
30,016100,리더스코스메틱,2128.0709659937515,33536.22550446592,13037.631442549722,7555.169102526621,3410.0,3.823352329193467,0.10127669543151552,0.26155057496648476,9.834670235913759
109,038060,루멘스,1001.9306148636795,5307.242113803592,3036.1647245330705,911.8289306538281,1875.0,1.6192878530843042,0.10142994648780013,0.6175554260444004,2.8305291273619155
127,053980,오상자이엘,5350.0,18100.0,9152.844335778322,2065.726170417696,6550.0,1.3973808146226445,0.1038321174515549,0.715624538089887,2.763358778625954
344,234920,자이글,1650.0,13050.0,6850.264336917563,2376.823726892265,3860.0,1.7746798800304568,0.10417913503020426,0.5634819052452649,3.3808290155440415
384,255440,야스,7510.0,31141.713891867053,19438.730720720912,5032.329578510345,13150.0,1.4782304730586244,0.10571080769390201,0.676484498341377,2.3681911704841867
