,Code,Name,Min,Max,Mean,Std,Current,M/C,Cdf,C/M,Max/Current
169,049520,유아이엘,2595.0,8200.0,5087.033398153713,1200.856287571705,2645.0,1.923264044670591,0.02099714518530671,0.5199494072439107,3.100189035916824
331,043200,파루,960.2582327924761,4416.217725849592,2203.254621335638,571.9454736434902,1095.0,2.0121046770188475,0.02633035696840746,0.496992035961871,4.033075548721088
117,038060,루멘스,925.0,5307.242113803592,2695.8068560671245,967.4378211909585,925.0,2.914385790342837,0.03359440445506237,0.34312547203380506,5.737559041949829
565,330350,위더스제약,8600.000326038611,22933.33420276963,13660.341753178913,1821.4239547549266,10350.0,1.319839782915837,0.03457433779675778,0.7576677206916467,2.215781082393201
545,262260,에이프로,30400.0,53700.0,39443.06246569028,4146.712033872712,32200.0,1.2249398281270274,0.040344683559010476,0.8163666304564791,1.6677018633540373
231,099440,스맥,1082.5093818502783,3853.9137125512157,2554.9021252326506,622.9210637465902,1565.0,1.6325253196374765,0.05601559998087876,0.6125479268046287,2.462564672556687
211,088910,동우팜투테이블,2010.0,5010.0,3718.4398505290874,437.12452880457835,3050.0,1.2191606067308483,0.06311054762417652,0.8202364762108558,1.6426229508196721
505,289010,아이스크림에듀,6160.0,13300.0,8561.17938636551,1073.026283682931,6930.0,1.2353794208319637,0.06423447641416308,0.8094679117501828,1.9191919191919191
501,100590,머큐리,4490.0,15100.0,10017.279102384291,1363.5812488712766,8020.0,1.2490372945616324,0.07149722427280361,0.8006166063687989,1.8827930174563592
299,037950,엘컴텍,1225.0,3015.0,1922.9495524816925,382.02489907283183,1365.0,1.4087542509023387,0.07207556753390236,0.7098470150911541,2.208791208791209
531,204270,제이앤티씨,4900.0,14950.0,10747.590361445784,1729.989521596709,8230.0,1.3059040536386128,0.07279818321674068,0.7657530407488369,1.8165249088699877
194,111870,KH 일렉트론,331.5385535437303,2438.2994149512438,1207.6435775413956,301.980717101315,778.0,1.5522411022382978,0.0774040742700791,0.6442298162044684,3.1340609446674086
74,122990,와이솔,7456.030076481162,18090.367879934187,13043.891797000928,1862.779552090379,10400.0,1.2542203650962431,0.0779019706086195,0.7973080551305388,1.7394584499936718
385,214430,아이쓰리시스템,10398.460057747834,29200.0,20461.028416149336,2489.97053582765,16950.0,1.207140319536834,0.07925976441607147,0.8284041083009211,1.7227138643067847
351,067080,대화제약,5815.028244071839,33431.51759849382,17920.51651888158,5876.702371767416,9790.0,1.8304919835425517,0.08325322830261661,0.5463012179188568,3.414863901786907
573,290520,신도기연,14100.0,26950.0,18904.98489425982,2630.8451660350356,15350.0,1.2315951071179034,0.08830431201494898,0.8119551581689319,1.755700325732899
590,195940,HK이노엔,49750.0,69600.0,61117.79661016949,4228.115691741054,55500.0,1.1012215605435944,0.09197741325226383,0.9080824747985967,1.2540540540540541
2,086900,메디톡스,100255.18102182406,771914.967565151,364609.1459841722,163999.90200664476,153700.0,2.37221305129585,0.09921592144533792,0.4215472971340993,5.0222183966503
354,217480,에스디생명공학,2360.0,22098.787485167344,8507.151126326879,4268.255613363906,3110.0,2.7354183685938516,0.10302775156921301,0.36557479158628753,7.105719448606863
315,234920,자이글,1650.0,13050.0,6423.010577705451,2269.120038668739,3570.0,1.7991626268082497,0.10431884682487647,0.5558141243596305,3.6554621848739495
454,219550,디와이디대양,1531.2636465514672,23387.731563892605,11346.8855396894,5681.623156890547,4210.0,2.695222218453539,0.10453351941928168,0.37102692058311193,5.555280656506557
80,016250,SGC이테크건설,38553.22549570285,218550.40417498458,132588.84549138544,51100.70846260454,69300.0,1.9132589536996456,0.10776312008743166,0.5226684020301131,3.1536854859305135
15,108230,톱텍,7209.592245480363,34158.69560843636,17131.757858771216,7237.636843700966,8330.0,2.0566335964911424,0.11197163406045696,0.48623148124494175,4.100683746510968
142,001540,안국약품,6340.0,19750.0,12271.692432872254,1902.696586285432,9990.0,1.2283976409281536,0.11522727095390489,0.8140686424995243,1.976976976976977
440,227610,아우딘퓨쳐스,1050.5505065006082,12489.37726612311,4513.711500847048,2615.549383544439,1390.0,3.247274461041042,0.11618324370748917,0.30795056346404753,8.985163500807992
585,198080,엔피디,2450.0,6190.0,4208.832923832924,498.46938292274365,3615.0,1.1642691352234922,0.11676541817685976,0.8589079361002221,1.7123098201936375
188,007820,에스엠코어,5386.927008787984,18318.907318608126,10657.14646560052,3210.31553903994,6860.0,1.553519892944682,0.11844512121554629,0.6436995139499048,2.6703946528583273
422,092730,네오팜,20200.0,57090.90700409059,36846.29338348971,9498.187809861729,25900.0,1.422636810173348,0.12456579242118254,0.7029200937645851,2.2042821237100614
